Product_id,Razón bloqueo,Nombre producto
443734,Tiene 2 SKU,
445299,Tiene 2 SKU,
445301,Tiene 2 SKU,
447166,Tiene 2 SKU,
451785,Tiene 2 SKU,
451825,Tiene 2 SKU,
458393,Tiene 2 SKU,
540394,Tiene 2 SKU,
540400,Tiene 2 SKU,
541049,Tiene 2 SKU,
542252,Tiene 2 SKU,
581208,Tiene 2 SKU,
581582,Tiene 2 SKU,
583739,Tiene 2 SKU,
584957,Tiene 2 SKU,
584968,Tiene 2 SKU,
585551,Tiene 2 SKU,
587589,Tiene 2 SKU,
587696,Tiene 2 SKU,
588388,Tiene 2 SKU,
588695,Tiene 2 SKU,
589576,Tiene 2 SKU,
606030,Tiene 2 SKU,
867107,Tiene 2 SKU,
1011610,Tiene 2 SKU,
1046533,Tiene 2 SKU,
1162006,Tiene 2 SKU,
1191016,Tiene 2 SKU,
1215342,Tiene 2 SKU,
1238695,Tiene 2 SKU,
1240245,Tiene 2 SKU,
1242728,Tiene 2 SKU,
1244147,Tiene 2 SKU,
1245073,Tiene 2 SKU,
1263282,Tiene 2 SKU,
1268305,Tiene 2 SKU,
1270836,Tiene 2 SKU,
1389774,Tiene 2 SKU,
1395373,Tiene 2 SKU,
1436362,Tiene 2 SKU,
1442026,Tiene 2 SKU,
1464314,Tiene 2 SKU,
1582628,Tiene 2 SKU,
1831731,Tiene 3 SKU,
1850955,Tiene 2 SKU,
1861627,Tiene 2 SKU,
1861774,Tiene 2 SKU,
1882822,Tiene 2 SKU,
2002501,Tiene 2 SKU,
2003633,Tiene 2 SKU,
2009714,Tiene 2 SKU,
2009977,Tiene 2 SKU,
2010034,Tiene 2 SKU,
2035987,Tiene 2 SKU,
2048839,Tiene 2 SKU,
2050215,Tiene 2 SKU,
2050225,Tiene 2 SKU,
2050713,Tiene 2 SKU,
2051329,Tiene 2 SKU,
2052444,Tiene 2 SKU,
2054117,Tiene 2 SKU,
2054455,Tiene 2 SKU,
2057529,Tiene 2 SKU,
2071801,Tiene 2 SKU,
2072052,Tiene 2 SKU,
2102736,Tiene 2 SKU,
2140572,Tiene 2 SKU,
2146262,Tiene 2 SKU,
2150589,Tiene 2 SKU,
2150916,Tiene 2 SKU,
2151524,Tiene 2 SKU,
2203290,Tiene 2 SKU,
2203441,Tiene 2 SKU,
2209430,Tiene 2 SKU,
2216969,Tiene 2 SKU,
2216980,Tiene 3 SKU,
2217132,Tiene 2 SKU,
2217216,Tiene 2 SKU,
2217261,Tiene 2 SKU,
2217432,Tiene 2 SKU,
2217461,Tiene 2 SKU,
2217750,Tiene 2 SKU,
2217782,Tiene 2 SKU,
2217797,Tiene 2 SKU,
2217845,Tiene 2 SKU,
2217871,Tiene 2 SKU,
2217896,Tiene 2 SKU,
2217897,Tiene 2 SKU,
2217945,Tiene 2 SKU,
2217971,Tiene 2 SKU,
2218232,Tiene 2 SKU,
2218684,Tiene 2 SKU,
2218713,Tiene 2 SKU,
2218788,Tiene 2 SKU,
2218919,Tiene 2 SKU,
2219120,Tiene 2 SKU,
2219184,Tiene 2 SKU,
2219207,Tiene 3 SKU,
2219271,Tiene 2 SKU,
2219285,Tiene 2 SKU,
2219298,Tiene 2 SKU,
2219327,Tiene 2 SKU,
2219337,Tiene 2 SKU,
2219370,Tiene 2 SKU,
2219508,Tiene 2 SKU,
2220320,Tiene 2 SKU,
2220439,Tiene 3 SKU,
2220446,Tiene 2 SKU,
2220528,Tiene 2 SKU,
2220547,Tiene 2 SKU,
2258185,Tiene 2 SKU,
2258280,Tiene 2 SKU,
2258293,Tiene 2 SKU,
2260441,Tiene 2 SKU,
2277211,Tiene 2 SKU,
2278558,Tiene 3 SKU,
2278791,Tiene 2 SKU,
2284317,Tiene 2 SKU,
2285616,Tiene 2 SKU,
2285700,Tiene 2 SKU,
2285983,Tiene 2 SKU,
2286510,Tiene 2 SKU,
2286527,Tiene 2 SKU,
2286578,Tiene 2 SKU,
2286597,Tiene 2 SKU,
2286608,Tiene 2 SKU,
2286609,Tiene 4 SKU,
2286643,Tiene 2 SKU,
2298608,Tiene 2 SKU,
2299674,Tiene 2 SKU,
2299769,Tiene 2 SKU,
2299783,Tiene 2 SKU,
2299866,Tiene 2 SKU,
2300280,Tiene 2 SKU,
2300437,Tiene 2 SKU,
2300444,Tiene 2 SKU,
2304464,Tiene 2 SKU,
2307584,Tiene 2 SKU,
2308969,Tiene 2 SKU,
2322353,Tiene 2 SKU,
2350019,Tiene 2 SKU,
2350023,Tiene 2 SKU,
2350026,Tiene 2 SKU,
2350029,Tiene 2 SKU,
2350030,Tiene 2 SKU,
2350040,Tiene 3 SKU,
2350044,Tiene 2 SKU,
2350079,Tiene 2 SKU,
2350128,Tiene 2 SKU,
2353341,Tiene 2 SKU,
2360700,Tiene 2 SKU,
2367774,Tiene 2 SKU,
2389715,Tiene 2 SKU,
2407940,Tiene 2 SKU,
2408142,Tiene 2 SKU,
2408147,Tiene 2 SKU,
2408425,Tiene 2 SKU,
2408909,Tiene 2 SKU,
2408933,Tiene 2 SKU,
2410477,Tiene 2 SKU,
2463292,Tiene 2 SKU,
2474134,Tiene 2 SKU,
2530458,Tiene 2 SKU,
2538203,Tiene 2 SKU,
2543812,Tiene 2 SKU,
2575336,Tiene 2 SKU,
2580658,Tiene 2 SKU,
2595132,Tiene 2 SKU,
2597217,Tiene 2 SKU,
2599230,Tiene 2 SKU,
2626623,Tiene 2 SKU,
2664417,Tiene 2 SKU,
